NH3_ug_m3,temperature_C,humidity_%,SO2_ug_m3
10.092,11.09,65.66,7.493
10.394,9.25,68.85,7.834
11.437,9.74,63.32,6.685
44.714,10.8,62.51,61.614
10.511,9.9,64.02,5.795
10.587,8.32,56.93,5.554
9.47,10.53,53.2,5.975
9.062,11.57,48.76,7.903
8.503,11.09,58.85,9.677
11.214,13.54,52.07,6.303
10.001,14.72,45.91,9.209
10.143,14.57,45.27,10.115
10.706,17.58,55.77,11.982
13.58,18.86,47.88,8.116
13.072,20.28,61.1,8.267
11.114,20.74,44.59,9.7
13.67,17.99,63.38,10.826
11.53,18.35,61.71,7.062
10.824,19.6,62.16,7.064
10.927,18.8,62.64,6.42
11.424,17.77,72.18,6.241
9.768,20.57,68.24,6.39
12.655,15.33,62.07,6.862
12.586,14.72,58.54,4.978
9.541,13.29,65.32,6.725
10.4,11.89,63.34,8.18
9.567,9.94,55.61,5.987
12.248,10.73,59.54,2.981
8.842,8.77,55.14,6.279
11.944,9.58,55.4,3.9
10.59,9.78,56.34,5.871
10.225,11.26,57.75,7.125
9.872,14.97,54.14,7.245
7.992,11.16,46.82,6.058
8.056,15.52,50.91,5.471
8.395,14.05,49.96,5.761
8.182,16.63,45.18,9.574
11.292,19.54,53.37,9.729
10.204,19.1,60.86,10.909
10.119,18.23,55.49,7.725
9.471,18.84,51.06,7.368
8.934,20.34,59.62,4.887
11.65,18.15,56.58,9.481
11.045,18.49,66.54,8.253
12.144,17.25,66.46,8.52
32.359,15.21,64.48,53.563
10.948,17.27,64.11,8.768
11.158,14.16,64.31,7.716
12.806,9.77,64.39,6.228
11.021,11.38,60.0,3.947
12.902,9.57,55.88,6.062
9.618,10.89,64.06,5.116
9.345,8.79,55.64,7.954
11.29,9.78,55.78,8.663
8.901,11.02,54.32,7.511
9.945,12.25,52.81,8.092
11.945,10.8,45.56,8.468
11.105,13.05,42.75,10.052
9.213,14.17,46.82,6.72
10.079,15.25,51.03,7.923
9.609,19.36,47.34,11.347
12.856,18.77,50.1,9.871
10.547,17.56,61.69,9.192
25.88,20.68,47.73,30.505
13.84,22.29,54.16,10.604
10.506,20.81,66.84,8.547
10.894,17.25,61.0,8.458
10.23,17.7,60.01,6.522
10.557,18.76,68.78,8.199
12.394,15.19,65.13,7.251
7.997,15.28,63.79,8.338
13.173,14.38,65.68,8.351
12.977,11.13,61.47,5.964
10.151,11.14,58.77,8.033
10.286,6.52,60.72,7.577
8.278,8.69,55.21,6.441
9.089,9.49,56.97,4.339
12.128,8.47,56.27,5.845
7.751,12.42,56.34,4.774
10.382,9.54,55.78,7.783
7.426,11.77,48.37,8.414
9.876,13.66,51.2,8.735
8.461,16.52,50.9,6.908
11.836,14.37,50.51,11.211
10.865,18.69,48.08,8.741
10.963,18.34,47.16,8.368
10.507,17.95,54.93,10.802
9.455,20.18,48.03,8.989
9.637,20.03,55.85,7.653
12.476,18.9,48.78,9.645
9.053,19.21,55.58,6.948
10.535,17.87,59.07,10.324
11.811,17.43,68.24,8.504
11.011,16.88,67.41,6.848
12.109,16.7,62.71,4.873
12.204,12.02,67.57,6.178
11.039,14.85,67.4,9.181
13.02,8.92,61.94,8.058
11.844,10.28,55.39,4.802
8.891,10.67,58.16,8.28
10.467,10.18,56.28,9.47
12.359,9.27,49.67,8.646
8.652,10.27,54.14,4.337
11.939,10.72,52.14,8.204
9.915,11.64,51.53,7.5
10.51,14.57,50.06,10.627
10.309,15.28,51.59,8.786
11.998,15.31,48.23,9.879
7.526,18.43,50.55,9.157
10.52,18.75,49.43,11.646
9.78,20.15,50.34,8.123
8.31,20.43,59.96,9.341
11.922,18.85,48.5,8.47
10.328,19.0,62.25,7.799
11.306,20.07,58.19,6.425
9.514,19.11,59.33,8.487
9.624,17.32,64.65,6.865
10.799,16.28,58.44,6.594
13.155,16.38,61.41,7.412
10.235,12.84,61.0,7.206
9.532,13.0,62.72,5.214
9.883,11.07,59.11,4.292
9.991,10.26,67.08,3.61
11.86,11.34,65.93,7.212
11.024,10.89,48.33,7.207
7.553,11.05,56.53,4.54
8.49,12.14,55.86,5.813
8.731,11.39,52.94,4.745
7.573,13.22,46.86,8.161
7.699,13.23,47.72,5.501
10.42,15.29,45.43,6.482
10.737,16.04,47.01,10.69
8.892,17.52,44.65,10.146
10.213,19.15,50.31,12.945
11.383,18.25,46.41,12.561
11.312,22.24,53.55,7.071
10.356,18.69,51.43,10.841
9.71,18.27,59.32,4.331
11.978,20.62,57.7,6.957
10.355,19.39,63.24,6.323
10.169,18.15,67.68,7.114
10.195,16.95,70.51,8.309
9.622,14.89,54.31,5.896
9.233,12.53,60.81,6.671
10.695,12.49,62.14,6.161
10.508,10.55,63.92,7.655
13.353,11.74,53.82,5.938
11.537,9.89,54.56,6.096
9.862,8.97,56.69,6.678
8.975,9.74,54.44,7.244
32.916,11.12,53.68,25.265
9.663,10.74,52.29,8.12
10.292,11.47,50.6,4.482
8.705,13.95,49.22,6.934
7.087,15.25,48.4,7.167
8.786,15.64,51.1,9.925
11.133,16.89,40.29,8.354
11.333,18.77,56.69,7.152
10.657,17.55,43.35,10.475
10.434,18.1,49.79,11.394
7.795,19.09,55.27,7.872
10.235,19.53,60.93,6.16
9.463,19.66,48.19,5.362
10.166,20.26,61.72,5.904
11.212,18.48,66.27,7.955
10.875,16.06,67.88,6.298
10.496,14.93,61.38,8.116
10.566,12.46,62.7,6.083
10.533,12.43,60.64,3.764
11.544,11.07,60.26,6.818
12.603,11.01,56.04,5.998
12.172,9.13,54.69,6.387
8.548,10.64,57.66,6.049
8.303,12.02,54.38,6.266
9.023,10.55,53.89,4.977
7.853,11.96,51.12,3.544
9.008,13.34,51.81,8.371
8.173,13.24,51.71,4.995
10.336,15.28,40.96,7.217
10.358,16.32,44.78,12.364
7.777,17.63,48.07,7.78
10.146,17.62,50.18,8.465
9.414,19.37,49.24,10.859
8.04,20.44,57.5,4.466
10.904,21.75,63.84,4.405
9.611,20.99,58.74,6.24
10.661,21.93,60.26,9.805
11.737,17.63,64.98,10.923
11.782,18.56,55.39,9.115
9.986,16.53,63.76,9.058
16.067,17.64,67.84,9.725
12.527,12.75,61.08,7.454
9.04,11.5,57.95,5.472
11.294,10.76,60.84,6.004
9.213,8.13,59.68,8.729
10.252,9.55,54.36,6.608
10.596,9.16,64.06,2.1
10.424,10.42,51.69,4.296
10.121,11.15,47.06,6.803
4.594,13.79,49.64,3.962
7.641,13.71,52.38,6.931
10.385,13.08,48.02,8.088
9.878,13.99,49.62,10.332
11.322,16.95,44.46,10.077
9.522,15.99,54.7,7.28
9.27,20.8,52.27,4.027
8.405,20.82,55.87,6.28
9.457,19.34,55.07,7.72
12.723,18.01,58.98,10.309
10.788,21.52,54.25,5.456
10.897,19.26,57.71,8.775
11.13,20.09,66.72,10.615
11.266,15.66,68.84,8.137
9.433,15.65,58.81,8.743
9.711,15.08,64.67,5.309
12.277,13.83,61.68,7.533
9.902,12.03,59.82,6.296
9.876,12.28,62.47,5.512
10.663,9.46,64.24,3.815
10.369,10.07,59.55,7.271
7.605,10.27,54.15,4.388
8.738,10.92,55.42,6.777
9.961,11.65,49.99,9.855
11.528,10.24,51.42,6.906
7.599,10.79,54.09,5.976
11.648,15.37,39.39,6.489
8.41,15.53,50.62,9.357
8.081,15.53,41.55,9.124
8.383,19.49,53.41,10.113
8.806,18.8,47.22,11.731
9.625,20.88,46.56,6.949
12.008,20.04,56.14,10.747
12.816,22.6,56.89,8.781
11.002,22.07,53.5,6.325
10.365,19.16,54.42,9.159
10.89,19.83,60.34,7.493
12.116,18.4,57.54,9.818
9.265,18.07,58.91,9.33
10.071,13.97,63.89,5.471
8.058,14.66,59.29,6.226
10.518,13.9,64.06,7.271
10.625,9.48,67.05,9.071
10.213,9.38,58.83,4.646
10.112,7.85,58.02,6.504
9.873,9.87,63.26,8.924
9.135,11.22,48.36,7.198
10.329,12.66,55.95,8.481
7.845,11.74,53.81,3.767
8.592,14.65,51.67,6.799
9.36,12.24,52.62,6.606
10.005,13.15,48.31,8.057
10.699,16.42,45.13,8.85
9.124,18.15,52.63,8.612
11.989,18.69,54.06,6.812
9.222,17.04,55.61,10.871
10.643,19.91,53.29,9.926
10.006,18.63,52.32,6.694
8.81,20.82,58.02,6.9
12.392,19.96,62.95,9.849
9.88,17.6,64.94,11.313
11.614,17.07,60.39,11.03
10.169,15.21,64.17,8.768
10.076,15.12,57.95,9.919
10.919,15.04,66.85,7.824
11.363,11.51,58.98,3.863
11.353,12.26,63.98,6.6
11.248,10.22,54.59,8.476
12.904,9.41,61.38,3.246
9.619,10.13,56.23,5.616
12.145,9.18,49.74,4.836
8.146,10.26,53.71,7.345
9.188,10.28,46.92,5.047
10.121,15.11,51.01,7.77
10.202,14.0,46.12,8.774
10.585,14.41,40.06,7.629
8.396,16.8,43.28,10.603
10.93,17.62,46.29,10.809
6.728,18.52,54.76,5.801
9.703,20.32,54.55,8.549
7.604,20.99,59.37,7.967
10.449,19.62,61.56,11.699
9.751,19.39,54.87,9.635
9.82,19.25,58.19,7.85
12.47,16.03,58.95,6.966
8.437,15.94,59.18,7.928
11.348,18.19,55.3,7.818
13.283,17.23,62.88,9.438
14.908,13.66,57.53,8.17
9.726,13.45,61.73,5.296
9.059,12.09,69.06,7.954
7.453,14.62,56.9,4.545
8.371,11.77,57.79,6.86
10.905,10.16,58.32,8.521
10.989,9.34,53.75,6.061
11.442,9.06,51.87,7.703
7.616,12.03,47.59,6.022
10.217,11.91,46.84,5.443
10.594,12.32,43.13,7.626
8.153,14.54,50.08,6.87
11.972,15.31,40.0,7.623
9.423,19.84,51.65,8.661
9.453,19.91,43.43,8.089
9.794,19.64,54.55,11.302
7.128,21.92,51.21,11.423
8.49,20.41,49.77,5.745
9.575,19.11,59.09,7.489
9.572,21.48,62.41,7.189
7.837,19.5,58.6,5.956
11.751,16.57,64.51,7.53
9.72,16.38,53.29,7.342
9.088,14.27,57.42,7.389
9.428,12.36,67.6,3.721
9.816,13.93,60.73,4.249
12.218,14.07,52.91,6.792
8.725,9.31,55.9,5.326
7.624,11.16,53.08,4.519
8.08,9.6,53.79,7.66
7.152,9.97,50.9,7.532
10.267,10.34,51.17,9.74
12.822,10.81,48.52,6.359
10.889,12.94,52.97,9.071
9.123,13.09,48.43,10.3
9.799,15.71,48.29,5.089
10.052,16.62,51.39,9.966
9.407,17.6,45.97,8.758
11.488,17.83,43.75,7.413
7.278,19.02,55.29,9.051
11.877,21.12,52.93,11.743
9.781,20.98,55.02,7.896
10.679,19.04,53.99,8.224
9.529,19.83,55.99,9.338
10.117,19.82,63.5,6.383
9.043,15.88,65.32,5.988
11.821,17.33,65.32,9.327
10.07,14.59,65.63,7.033
10.895,14.77,64.46,8.489
9.6,11.97,61.91,8.29
11.483,9.68,59.41,6.597
9.487,9.1,63.3,6.661
10.701,10.61,55.03,6.401
9.643,10.76,55.7,4.598
11.846,9.53,48.93,6.785
9.016,11.89,47.58,5.332
7.411,9.92,47.62,4.84
8.133,12.87,44.07,6.643
9.59,12.7,49.68,10.127
8.382,14.67,40.83,5.11
6.992,16.8,46.89,8.683
9.156,16.92,47.82,9.834
7.338,18.52,41.32,9.585
9.426,20.99,48.45,8.962
9.109,19.59,53.17,6.854
9.256,21.45,55.93,7.988
11.254,18.92,55.47,9.402
11.761,20.41,60.93,9.425
11.652,20.71,59.44,8.435
8.986,14.98,61.2,6.697
9.258,15.79,62.95,7.647
10.73,16.14,65.93,8.468
9.851,13.91,59.24,8.358
10.701,13.39,59.2,7.758
9.63,11.19,57.2,6.625
11.821,11.22,56.89,3.825
13.638,10.43,61.99,10.099
9.186,11.92,56.27,5.732
10.545,10.99,47.39,6.424
9.351,11.59,47.58,7.822
9.748,11.49,49.82,7.335
7.954,12.43,43.43,9.404
10.673,13.7,43.35,6.759
9.053,15.99,51.36,8.69
12.323,16.31,43.8,8.413
10.228,18.36,50.87,11.514
8.678,21.54,53.35,7.53
10.566,20.89,47.05,9.916
11.88,19.96,48.35,6.702
10.366,21.96,52.88,11.326
9.985,19.86,51.7,9.621
9.454,17.4,58.47,10.05
9.724,17.84,58.82,8.606
9.315,15.77,62.35,10.02
11.372,16.39,67.3,6.8
13.71,15.54,65.25,9.91
8.12,16.23,63.67,8.388
9.696,13.41,53.05,4.669
12.853,11.72,61.41,8.425
12.922,12.18,64.87,8.222
11.396,8.03,44.01,2.663
9.768,10.87,56.5,2.679
10.738,11.68,51.04,4.95
8.74,9.48,46.35,7.712
9.796,13.42,51.29,8.087
7.448,13.49,53.66,7.933
7.67,13.79,49.12,7.299
46.172,16.35,44.26,51.992
11.785,19.61,42.24,6.845
9.358,18.3,47.4,9.711
11.273,19.42,51.58,9.057
6.038,19.37,48.2,10.326
10.119,19.4,50.51,9.731
10.477,21.58,65.03,9.754
12.237,19.39,60.13,10.211
12.17,20.0,62.35,8.22
11.074,18.55,53.56,8.094
40.896,18.66,57.85,31.702
10.268,17.28,61.77,10.965
11.464,16.83,57.74,7.194
10.694,13.68,67.88,6.342
10.316,12.76,66.32,5.495
10.41,10.88,57.27,6.407
11.226,10.72,64.88,7.997
12.195,11.21,55.8,8.419
11.67,11.57,63.87,6.306
7.837,9.72,52.02,4.007
11.082,12.37,51.82,8.169
8.577,13.75,53.46,7.304
8.244,13.65,51.69,7.927
45.88,16.61,47.83,57.663
8.34,14.73,44.95,10.854
7.587,15.46,47.84,9.467
10.438,16.02,43.32,11.287
9.949,20.99,48.46,6.774
8.845,20.77,45.08,10.879
8.802,20.42,44.32,10.382
8.423,20.99,53.71,8.966
10.814,19.14,60.63,8.424
10.558,22.92,61.22,8.361
10.746,19.35,58.84,8.404
9.197,18.29,67.43,7.843
12.042,17.82,58.96,9.388
10.563,16.23,53.84,10.333
10.958,14.63,52.51,7.652
10.443,12.21,55.72,3.452
12.178,12.69,62.44,6.46
10.539,13.59,54.97,10.265
10.832,12.44,57.43,6.806
9.376,12.64,59.87,5.865
6.475,10.29,46.81,7.678
7.054,10.21,51.19,3.932
6.984,12.04,49.78,6.392
9.498,13.3,42.91,5.784
8.691,15.75,50.97,9.034
8.19,13.7,44.13,7.194
8.933,18.86,44.02,7.99
6.011,18.04,54.8,12.126
9.553,18.75,49.72,9.545
11.535,18.84,52.98,10.41
8.175,18.57,56.63,10.396
12.334,21.72,50.68,13.373
10.56,20.65,60.35,9.408
9.588,18.51,55.27,8.095
7.934,17.71,56.76,8.83
11.756,17.83,59.12,9.099
12.076,19.03,58.52,7.789
11.035,15.42,64.57,7.087
9.729,12.63,62.08,7.737
9.639,12.93,58.24,8.352
9.259,11.87,61.64,5.458
10.321,8.16,56.18,4.651
10.552,10.83,54.04,8.648
7.732,10.52,53.25,8.17
8.417,11.81,52.83,7.238
11.971,13.69,50.61,5.985
8.356,13.62,45.94,5.667
8.253,12.98,49.51,8.724
8.482,13.18,44.43,7.248
5.572,18.89,42.43,7.582
8.135,17.17,39.45,9.063
8.851,18.32,50.06,8.723
10.868,19.31,47.44,7.421
5.782,20.37,49.89,8.522
10.494,20.46,55.16,7.726
9.354,20.11,51.14,7.075
9.09,19.98,49.62,9.41
9.462,20.09,57.33,7.396
11.211,18.69,59.94,8.691
11.576,17.45,58.93,6.116
9.529,17.22,66.67,3.962
11.781,15.5,51.11,5.807
10.917,16.31,65.26,5.95
8.639,10.12,63.14,4.949
9.613,13.58,60.54,9.33
9.898,12.97,43.71,8.236
11.079,8.48,60.26,5.971
9.224,10.46,48.72,7.781
10.377,10.6,48.72,5.751
7.671,9.86,48.14,8.292
10.07,11.41,48.8,5.95
6.971,12.04,48.45,6.015
10.358,16.68,48.67,5.671
6.392,17.0,48.09,6.53
9.981,18.7,46.11,8.616
8.433,19.24,47.56,9.211
9.313,18.06,42.8,11.81
10.48,19.58,45.82,9.766
9.853,21.29,54.33,8.416
8.872,19.41,56.17,10.281
10.348,21.56,57.79,8.853
12.39,19.92,54.77,8.451
7.638,18.96,62.12,8.91
6.71,19.23,55.11,10.848
10.204,17.7,64.86,7.268
10.211,15.44,59.78,7.164
11.195,15.97,67.29,7.399
10.246,12.08,53.67,8.305
9.936,13.08,65.53,4.255
8.036,12.26,55.38,5.262
10.139,10.68,53.38,8.502
10.749,11.34,53.38,5.894
9.512,9.62,47.74,8.924
9.721,12.73,48.31,10.201
10.385,12.19,43.99,7.167
8.827,12.82,42.87,7.623
8.011,15.92,46.82,7.752
10.226,15.11,40.99,8.275
8.951,15.56,41.8,8.396
9.325,16.58,40.18,8.46
11.305,20.21,44.93,8.413
8.584,18.75,53.84,12.469
9.67,22.89,47.14,10.088
8.384,18.45,49.67,8.143
9.999,22.82,55.44,9.831
11.884,20.54,55.11,11.659
9.119,19.37,67.17,7.97
11.932,17.8,58.88,10.111
9.147,17.72,61.67,7.925
11.148,15.91,64.37,6.631
11.329,15.98,64.02,8.996
10.502,13.59,60.46,6.505
11.837,12.6,57.61,6.187
11.449,11.19,64.69,4.839
7.575,11.05,54.27,4.898
12.199,11.4,50.61,10.853
10.158,9.15,47.72,9.581
9.453,10.08,41.47,8.429
8.699,13.38,50.0,7.413
7.918,13.73,36.05,6.49
7.661,14.51,44.62,6.026
7.702,16.05,43.56,11.598
7.568,17.74,53.61,8.668
9.358,17.88,38.12,9.404
9.651,18.63,43.11,7.477
12.769,20.59,47.83,11.862
10.501,19.68,49.51,9.725
13.402,21.52,50.18,8.778
10.377,18.82,54.12,8.362
10.162,21.59,51.34,9.263
9.764,20.13,59.46,8.386
8.285,18.84,50.02,5.58
10.607,18.5,60.0,8.635
10.912,18.03,57.97,7.504
12.371,15.95,64.17,6.948
7.952,11.32,66.32,7.576
11.469,10.96,56.71,6.587
11.983,10.95,61.94,3.389
9.155,11.23,53.18,5.426
43.299,11.73,48.29,50.792
7.495,10.41,57.07,6.247
46.968,12.0,50.24,56.109
10.725,11.66,46.51,10.153
9.209,12.87,47.97,9.878
10.03,13.12,45.52,9.03
6.734,15.0,43.88,7.541
10.49,15.78,39.12,10.064
9.145,17.44,44.14,8.809
9.634,20.91,48.99,9.901
10.321,19.3,47.66,9.884
10.136,24.09,53.69,7.804
9.617,21.7,53.69,10.974
9.729,21.16,50.71,11.296
11.897,19.41,50.88,11.564
11.841,20.48,57.18,10.543
12.088,17.92,56.98,10.808
9.134,17.55,61.23,5.318
9.066,19.18,57.28,7.439
13.245,14.7,57.42,8.222
11.316,14.99,63.29,5.298
10.987,11.73,58.4,6.9
10.878,11.73,53.34,9.2
9.614,13.4,54.29,5.266
9.715,10.43,57.45,5.703
9.669,13.53,51.04,6.013
9.596,12.7,50.31,6.665
9.732,11.98,43.27,7.05
9.588,14.44,49.11,7.328
9.046,16.06,53.48,7.865
7.586,16.93,40.77,7.954
9.326,15.6,39.48,7.166
8.99,17.81,45.71,8.464
8.19,19.42,49.78,10.844
8.044,20.43,47.57,9.335
7.989,21.76,45.65,6.715
12.369,21.4,51.5,8.076
10.562,19.41,56.4,9.05
9.25,20.97,54.31,6.196
10.002,20.45,60.02,8.482
12.823,19.36,63.52,10.394
8.61,18.78,60.62,7.347
11.095,17.19,59.82,8.596
11.772,15.44,62.98,6.953
8.139,13.6,55.44,6.772
12.78,10.66,53.77,8.892
9.584,12.37,54.87,4.014
8.435,11.61,52.04,6.613
9.016,11.59,48.51,6.599
8.875,9.9,56.97,7.947
9.898,10.64,56.41,8.539
10.676,13.99,44.65,7.714
7.989,13.72,45.16,6.214
10.803,15.79,43.24,8.895
9.725,16.3,48.15,5.2
10.089,17.6,49.21,9.795
10.648,19.89,37.68,12.027
8.539,19.18,47.97,10.386
6.839,20.71,42.49,11.346
10.314,20.54,56.68,7.21
8.357,20.74,53.48,8.606
9.746,20.72,50.5,7.625
11.382,20.86,54.75,6.936
7.26,19.23,56.22,7.608
10.724,20.27,60.75,8.944
11.617,16.49,63.61,6.008
13.842,16.04,55.13,8.188
10.555,14.44,66.8,5.464
10.537,15.5,65.07,6.349
9.435,12.97,53.87,4.624
13.357,13.17,56.01,7.105
8.543,9.65,60.63,6.265
5.876,11.67,56.44,9.229
10.511,12.59,48.09,9.125
8.755,12.12,50.76,5.734
11.372,14.09,57.84,7.029
7.347,13.23,45.0,8.183
7.928,16.74,41.25,5.638
9.095,19.11,44.19,7.193
8.92,17.21,44.76,7.598
9.928,18.31,42.48,8.495
8.401,21.63,47.61,8.115
9.799,22.57,42.49,9.413
7.072,20.55,46.77,8.142
7.974,20.84,54.54,9.264
5.814,20.84,46.56,9.189
10.778,19.06,59.12,7.754
8.744,18.78,49.11,9.137
7.821,17.64,51.51,9.637
6.74,16.72,57.24,9.903
10.723,16.31,60.65,10.077
7.848,15.33,64.53,8.941
8.574,15.71,58.66,10.841
9.013,11.61,56.18,4.853
11.059,13.2,57.82,6.577
11.928,11.26,50.09,6.767
8.617,11.37,51.85,6.083
10.049,12.41,44.42,6.142
8.139,10.75,47.62,4.453
9.147,13.35,45.12,8.354
8.629,14.13,41.15,8.618
9.717,15.73,44.23,8.167
9.373,16.78,43.93,7.963
6.385,20.67,48.27,9.417
9.413,18.16,37.94,9.222
9.742,19.33,45.33,6.734
8.807,20.01,44.25,9.01
8.583,20.59,52.7,9.003
8.851,20.66,54.31,9.721
6.593,22.69,55.4,9.98
6.893,22.46,52.48,8.962
11.433,19.28,60.49,6.687
12.922,17.93,52.1,8.382
8.834,18.29,52.08,7.076
10.323,15.77,54.19,8.594
11.105,15.9,58.89,7.299
9.946,14.17,60.92,7.468
9.915,11.08,45.05,9.095
11.95,13.96,60.58,8.835
9.655,13.76,53.89,7.158
11.83,10.78,44.81,9.106
10.925,11.22,49.42,9.91
8.19,12.53,51.45,8.009
9.65,13.38,47.83,6.063
5.477,14.8,48.55,4.452
10.546,17.63,37.89,10.329
8.721,16.3,41.43,8.03
